time	type	activeApp	leftMouseDown	leftMouseUp	rightMouseDown	rightMouseUp	mouseMoved	leftMouseDragged	rightMouseDragged	keyDown	keyUp	flagsChanged	scrollWheel
1583155936.777411	init	(null)	13866	13866	278	278	1259207	446938	12	10265	10265	4824	206893
1583155941.173608	appActivated	Preferenze di Sistema	2	1	0	0	209	101	0	0	0	0	0
1583155942.629136	appActivated	Finder	1	2	0	0	102	26	0	0	0	0	0
1583155955.067403	appActivated	Anteprima	3	3	0	0	233	23	0	10	10	2	49
1583155956.220247	appActivated	Finder	1	1	0	0	67	1	0	0	0	0	0
1583156002.897279	willSleep	Finder	3	3	0	0	284	2	0	2	2	0	0
1583156002.963224	screenDidSleep	Finder	0	0	0	0	0	0	0	0	0	0	0
1583156004.190325	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583161223.978392	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583161223.993242	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583161254.191956	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583161283.357086	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583161292.970338	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583161435.202974	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583163582.962064	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583163582.966280	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583163613.319696	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583163718.712099	screenDidWake	loginwindow	0	0	0	0	15	0	0	0	0	0	0
1583163748.894449	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583163929.896248	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583165560.011858	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583165560.013885	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583165590.346977	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583165785.809774	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583166148.027312	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583166148.028911	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583166150.393787	appActivated	Finder	0	0	0	0	0	0	0	0	0	0	0
1583166152.566129	appActivated	Safari	1	1	0	0	129	0	0	0	0	0	0
1583168956.196799	screenDidSleep	Safari	14	14	0	0	2266	67	0	51	51	0	6648
1583168956.204425	willSleep	Safari	0	0	0	0	0	0	0	0	0	0	0
1583168957.291849	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583178321.551430	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583178366.572760	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583179250.010048	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583179250.148813	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583179280.434731	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583179468.252201	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583179784.932819	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583179785.078733	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583179789.700128	appActivated	Safari	1	1	0	0	68	0	0	0	0	0	0
1583179806.505619	appActivated	Finder	5	5	0	0	830	2	0	0	0	0	43
1583179815.007980	appActivated	FaceTime	3	3	1	1	497	54	0	0	0	0	0
1583179818.737459	appActivated	Finder	1	1	1	1	84	0	0	0	0	0	2
1583180019.428448	screenDidSleep	Finder	0	0	0	0	0	0	0	0	0	0	2
1583180019.436775	willSleep	Finder	0	0	0	0	0	0	0	0	0	0	0
1583180020.551577	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583180705.013490	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583180705.015117	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583180713.752431	appActivated	Finder	0	0	0	0	41	0	0	0	0	0	0
1583180715.814557	appActivated	Safari	1	1	0	0	189	1	0	0	0	0	0
1583183267.560618	appActivated	Lightroom Classic	9	9	0	0	1093	2	0	1	1	0	2
1583183354.816256	appActivated	Safari	5	5	0	0	435	2	0	0	0	0	0
1583183357.955889	appActivated	Lightroom Classic	1	1	0	0	251	1	0	0	0	0	0
1583183900.617649	screenDidSleep	Lightroom Classic	8	8	0	0	1246	131	0	91	91	0	136
1583183900.623821	willSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583183902.388826	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583184169.191238	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583184169.415984	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583184169.757362	appActivated	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583184704.642500	appActivated	Photoshop	67	67	2	2	8128	97	0	60	60	30	667
1583184743.590129	appActivated	Lightroom Classic	1	1	0	0	242	0	0	0	0	0	0
1583184749.941390	appActivated	Photoshop	2	2	0	0	177	1	0	0	0	0	73
1583184808.161918	appActivated	Lightroom Classic	13	13	0	0	1474	72	0	0	0	0	114
1583185245.105866	appActivated	Photoshop	29	29	0	0	3388	6	0	2	2	4	1243
1583185266.382267	appActivated	Lightroom Classic	4	4	1	0	772	2	0	2	2	4	2
1583185278.334237	appActivated	Photoshop	1	1	1	2	328	1	0	0	0	0	2
1583185549.061398	appActivated	Lightroom Classic	84	84	7	7	5583	404	0	9	9	2	14
1583185574.195425	appActivated	Photoshop	3	3	1	1	946	1	0	0	0	2	0
1583185579.236547	appActivated	Lightroom Classic	1	1	0	0	77	1	0	0	0	0	0
1583185579.661705	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583185938.291684	screenDidSleep	Photoshop	0	0	0	0	47	0	0	0	0	0	0
1583185938.749175	willSleep	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583185940.141803	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187042.198857	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187042.457711	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187072.539785	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187081.543381	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187085.115994	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583187107.501694	appActivated	Lightroom Classic	3	3	0	0	482	1	0	0	0	0	0
1583187109.647898	appActivated	Photoshop	1	1	0	0	49	0	0	0	0	0	0
1583187113.468854	appActivated	Lightroom Classic	1	1	0	0	87	1	0	0	0	0	0
1583187501.079555	willSleep	Lightroom Classic	1	1	0	0	470	0	0	0	0	0	0
1583187501.094201	screenDidSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187502.799350	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187516.047897	appActivated	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187516.974048	didWake	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187516.977772	screenDidWake	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187718.944843	willSleep	Lightroom Classic	2	2	0	0	176	0	0	0	0	0	0
1583187718.953363	screenDidSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187720.647182	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187844.918777	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187845.422207	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187845.827902	appActivated	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583188086.815475	appActivated	Photoshop	48	47	0	0	3714	373	0	9	9	4	616
1583188089.464195	appActivated	Finder	1	2	0	0	110	1	0	0	0	0	0
1583188345.176050	willSleep	Finder	16	16	2	2	1093	312	0	0	0	0	4
1583188345.188753	screenDidSleep	Finder	0	0	0	0	0	0	0	0	0	0	0
1583188347.009117	appActivated	loginwindow	0	0	0	0	12	0	0	0	0	0	0
